,Real future temperature,Predicted future temperature
0,45.00000000000001,41.14127022242722
1,47.0,41.11940150962661
2,57.0,40.787917862964825
3,60.0,40.26352671804582
4,60.0,37.480108888562704
5,62.0,34.65232140234478
6,55.0,31.499692749131526
7,51.0,30.170872594746413
8,55.0,29.112144822845266
9,59.0,28.439523846443294
10,65.0,28.942309708200696
11,73.0,31.088142703268716
12,72.0,35.28436205604986
13,77.0,39.35361237559711
14,72.0,41.68188458034489
15,67.0,40.199967225300846
16,67.0,38.35001029522928
17,68.0,36.65285066130457
18,59.0,35.24185261784275
19,48.0,33.481182124337195
20,45.00000000000001,33.91867796325958
21,47.0,32.19593323224254
22,52.0,31.507579427246796
23,52.0,32.51683106018024
24,56.0,33.51559414071782
25,51.0,35.295069457684264
26,52.0,37.277689553955774
27,54.0,39.42605147355819
28,57.0,42.641951873295355
29,59.0,44.83630860786702
30,69.0,47.10080247063128
31,72.0,51.2414746444567
32,74.0,54.858687809008806
33,78.0,57.74300729575594
34,77.0,61.09330949731046
35,77.0,63.54678778309269
36,79.0,65.72886869648698
37,76.0,67.45986282796838
38,72.0,67.97181604116295
39,72.0,68.38489397893196
40,67.0,67.35924486416175
41,66.0,65.39661097196291
42,63.0,62.72398759587915
43,58.0,59.161389474637076
44,56.0,56.49236900546209
45,53.0,53.682109722146805
46,51.0,52.25011025731125
47,50.0,51.5522284049111
48,48.0,50.53594522699822
49,48.0,49.4300149165521
50,47.0,50.0227883429916
51,46.0,49.792238775703254
52,46.0,48.93238011742805
53,47.0,49.01647091096025
54,47.0,49.21328527340201
55,45.00000000000001,49.51714528284198
56,46.0,49.56592029369359
57,46.0,49.723001361046926
58,47.0,49.416109884376624
59,50.0,49.91307597749399
60,52.0,51.67750338292805
61,54.0,53.29459256488806
62,55.0,54.197957641234886
63,54.0,54.22511521063386
64,52.0,53.19982273906721
65,52.0,52.17693760912465
66,51.0,51.20991172094093
67,50.0,50.234038649650515
68,48.0,47.59071270218714
69,46.0,44.50405898887029
70,46.0,42.96396015848053
71,47.0,42.07467843591097
72,49.0,41.45711830682349
73,49.0,42.720697071537714
74,50.0,44.365312624391294
75,51.0,46.90200225398783
76,53.0,49.639510376538915
77,54.0,52.614871146524145
78,54.0,54.82194140075027
79,55.0,55.76758896053829
80,57.0,56.30013021321156
81,60.0,57.031694584530506
82,61.0,58.67879853428172
83,64.0,60.50265566627398
84,67.0,62.312474024889426
85,65.0,64.33351432081805
86,63.0,64.56779648345284
87,62.0,63.546001546939365
88,63.0,63.11138317022758
89,62.0,62.88190758531361
90,63.0,62.472918886094604
91,64.0,62.191608453752956
92,66.0,61.87627912310733
93,66.0,60.706683948060636
94,66.0,59.247101373640035
95,66.0,58.72904875111172
96,70.0,58.63468825442223
97,74.0,59.893711712763604
98,77.0,61.710825045997495
99,80.0,63.29695111346592
100,80.0,65.92148439575948
101,80.0,68.64535091577407
102,83.0,70.65598776734407
103,81.0,73.09501795061811
104,77.0,74.98594224231772
105,81.0,73.61866338702058
106,87.0,73.78689563363093
107,86.0,77.83959446632167
108,86.0,80.04885321293334
109,85.0,84.171885732855
110,92.0,86.3908630067639
111,99.0,87.8791229369623
112,101.0,89.12937216194318
113,83.0,88.55438631528163
114,77.0,85.66421869054872
115,83.0,81.6244056199687
116,86.0,80.10781889805054
117,85.0,80.73139738119822
118,82.0,79.71987417422388
119,81.0,76.47797124273566
120,73.0,73.08645243458697
121,70.0,68.07233876502318
122,72.0,63.98865655402246
123,76.0,59.516914115430296
124,74.0,56.59437301444623
125,76.0,55.555763161437255
126,78.0,54.34391792505878
127,66.0,51.64224028617526
128,74.0,47.60364507108016
129,75.0,48.137568316167254
130,82.0,50.105618727020286
131,85.0,53.118949839894476
132,88.0,54.214979248677906
133,86.0,54.71382987690503
134,77.0,54.99432165098394
135,76.0,57.794846195947294
136,76.0,60.254784587030514
137,77.0,62.64272157862976
138,77.0,65.62032352692832
139,77.0,67.72922166022683
140,78.0,69.48646351566173
141,79.0,70.46660414710392
142,84.0,71.39006282576086
143,86.0,73.55285663681676
144,87.0,75.24658357990712
145,89.0,76.50447226441896
146,88.0,76.85895331856538
147,84.0,76.5860827665809
148,85.0,73.51501192960177
149,84.0,71.0842534369923
150,85.0,69.14097757049622
151,84.0,67.92110786203747
152,89.0,66.38894636930894
153,91.0,68.40294093558524
154,94.0,70.04642982013665
155,97.0,71.19731338528705
156,97.0,73.20528351835763
157,94.0,73.68051058711205
158,91.0,72.83953780757125
159,88.0,72.43675388954159
160,88.0,71.33762816930901
161,85.0,70.51429099090828
162,86.0,69.46742565828944
163,86.0,67.15865940511863
164,82.0,65.2934276087488
165,82.0,63.9089305869703
166,81.0,63.260986888597024
167,83.0,62.793464123592415
